"index","unique_id","ds","model_label","cutoff","y","forecast","lower","upper","partition","model_name"
"0","1","2024-11-26T12:00:00.000","enet","2024-11-26T11:00:00.000","423022","415653.65625","407217.8265625","424089.4859375","1","ElasticNet"
"1","1","2024-11-26T12:00:00.000","knn","2024-11-26T11:00:00.000","423022","413827.8125","403361.0859375","424294.5390625","1","KNeighborsRegressor"
"2","1","2024-11-26T12:00:00.000","mlp","2024-11-26T11:00:00.000","423022","411789.34375","401641.53515625","421937.15234375","1","MLPRegressor"
"3","1","2024-11-26T13:00:00.000","enet","2024-11-26T11:00:00.000","446189","429653.875","414329.409375","444978.340625","1","ElasticNet"
"4","1","2024-11-26T13:00:00.000","knn","2024-11-26T11:00:00.000","446189","434363.8125","412605.2140625","456122.4109375","1","KNeighborsRegressor"
"5","1","2024-11-26T13:00:00.000","mlp","2024-11-26T11:00:00.000","446189","422539.84375","403266.78671875","441812.90078125","1","MLPRegressor"
"6","1","2024-11-26T14:00:00.000","enet","2024-11-26T11:00:00.000","458839","441158.90625","427136.53125","455181.28125","1","ElasticNet"
"7","1","2024-11-26T14:00:00.000","knn","2024-11-26T11:00:00.000","458839","449731.40625","419905.215625","479557.596875","1","KNeighborsRegressor"
"8","1","2024-11-26T14:00:00.000","mlp","2024-11-26T11:00:00.000","458839","431582.5625","411589.60546875","451575.51953125","1","MLPRegressor"
"9","1","2024-11-26T15:00:00.000","enet","2024-11-26T11:00:00.000","464379","449255.90625","438721.0390625","459790.7734375","1","ElasticNet"
"10","1","2024-11-26T15:00:00.000","knn","2024-11-26T11:00:00.000","464379","455714.40625","424593.74609375","486835.06640625","1","KNeighborsRegressor"
"11","1","2024-11-26T15:00:00.000","mlp","2024-11-26T11:00:00.000","464379","437738.5","418415.13203125","457061.86796875","1","MLPRegressor"
"12","1","2024-11-26T16:00:00.000","enet","2024-11-26T11:00:00.000","465544","455382.9375","446952.43203125","463813.44296875","1","ElasticNet"
"13","1","2024-11-26T16:00:00.000","knn","2024-11-26T11:00:00.000","465544","459426.59375","426023.00625","492830.18125","1","KNeighborsRegressor"
"14","1","2024-11-26T16:00:00.000","mlp","2024-11-26T11:00:00.000","465544","441611.4375","423177.47265625","460045.40234375","1","MLPRegressor"
