"index","unique_id","ds","cutoff","y","knn","mlp","enet","knn-lo-95","knn-hi-95","mlp-lo-95","mlp-hi-95","enet-lo-95","enet-hi-95"
"0","1","2024-11-26T12:00:00.000","2024-11-26T11:00:00.000","423022","413827.8125","411789.34375","415653.65625","403361.0859375","424294.5390625","401641.53515625","421937.15234375","407217.8265625","424089.4859375"
"1","1","2024-11-26T13:00:00.000","2024-11-26T11:00:00.000","446189","434363.8125","422539.84375","429653.875","412605.2140625","456122.4109375","403266.78671875","441812.90078125","414329.409375","444978.340625"
"2","1","2024-11-26T14:00:00.000","2024-11-26T11:00:00.000","458839","449731.40625","431582.5625","441158.90625","419905.215625","479557.596875","411589.60546875","451575.51953125","427136.53125","455181.28125"
"3","1","2024-11-26T15:00:00.000","2024-11-26T11:00:00.000","464379","455714.40625","437738.5","449255.90625","424593.74609375","486835.06640625","418415.13203125","457061.86796875","438721.0390625","459790.7734375"
"4","1","2024-11-26T16:00:00.000","2024-11-26T11:00:00.000","465544","459426.59375","441611.4375","455382.9375","426023.00625","492830.18125","423177.47265625","460045.40234375","446952.43203125","463813.44296875"
"5","1","2024-11-26T17:00:00.000","2024-11-26T11:00:00.000","464067","460958.8125","444407.84375","460758.84375","426612.94296875","495304.68203125","426958.98359375","461856.70390625","448448.57421875","473069.11328125"
"6","1","2024-11-26T18:00:00.000","2024-11-26T11:00:00.000","462051","463612.40625","446929.15625","465165.96875","429403.42578125","497821.38671875","430649.16015625","463209.15234375","447980.18828125","482351.74921875"
"7","1","2024-11-26T19:00:00.000","2024-11-26T11:00:00.000","459467","462062.8125","449926.15625","468655.71875","426562.36171875","497563.26328125","434306.43984375","465545.87265625","444276.43671875","493035.00078125"
"8","1","2024-11-26T20:00:00.000","2024-11-26T11:00:00.000","458819","462524","454186.34375","472612.15625","432077.134375","492970.865625","433161.2859375","475211.4015625","444619.39765625","500604.91484375"
"9","1","2024-11-26T21:00:00.000","2024-11-26T11:00:00.000","458560","463530.8125","460373.78125","478545.75","434298.771875","492762.853125","435553.64296875","485193.91953125","446304.5015625","510786.9984375"
"10","1","2024-11-26T22:00:00.000","2024-11-26T11:00:00.000","463019","467703.8125","466763.53125","485405.5","442453.96875","492953.65625","442279.9109375","491247.1515625","452807.55234375","518003.44765625"
"11","1","2024-11-26T23:00:00.000","2024-11-26T11:00:00.000","474476","476101","471757.9375","491165.09375","455134.1375","497067.8625","453825.98125","489689.89375","465951.39375","516378.79375"
"12","1","2024-11-27T00:00:00.000","2024-11-26T11:00:00.000","483113","479654","474197.78125","493277.6875","458023.81953125","501284.18046875","457190.8140625","491204.7484375","474412.109375","512143.265625"
"13","1","2024-11-27T01:00:00.000","2024-11-26T11:00:00.000","484300","479404.8125","472810.09375","491306.75","452656.82734375","506152.79765625","456770.78359375","488849.40390625","475232.8234375","507380.6765625"
"14","1","2024-11-27T02:00:00.000","2024-11-26T11:00:00.000","480209","474414.1875","466632.84375","484437.65625","446392.73359375","502435.64140625","449394.76796875","483870.91953125","470400.60703125","498474.70546875"
"15","1","2024-11-27T03:00:00.000","2024-11-26T11:00:00.000","471759","464776.40625","455647.65625","472475.125","438192.68203125","491360.13046875","438447.23203125","472848.08046875","461335.34296875","483614.90703125"
"16","1","2024-11-27T04:00:00.000","2024-11-26T11:00:00.000","458093","450115.8125","441006.21875","456498.6875","427240.47421875","472991.15078125","424276.73046875","457735.70703125","447854.05390625","465143.32109375"
"17","1","2024-11-27T05:00:00.000","2024-11-26T11:00:00.000","442481","431890.8125","425022.21875","439326.03125","414194.13046875","449587.49453125","409098.0609375","440946.3765625","430907.290625","447744.771875"
"18","1","2024-11-27T06:00:00.000","2024-11-26T11:00:00.000","428789","413795.1875","409476.3125","423344","399249.49453125","428340.88046875","392677.81328125","426274.81171875","412910.47734375","433777.52265625"
"19","1","2024-11-27T07:00:00.000","2024-11-26T11:00:00.000","416590","401476.1875","396997.0625","410395.625","389166.04765625","413786.32734375","378133.18359375","415860.94140625","397176.0625","423615.1875"
"20","1","2024-11-27T08:00:00.000","2024-11-26T11:00:00.000","408559","392110.40625","389087","401635.03125","375584.75703125","408636.05546875","368742.14921875","409431.85078125","385994.1390625","417275.9234375"
"21","1","2024-11-27T09:00:00.000","2024-11-26T11:00:00.000","404818","386008.40625","386812","398456.09375","367110.265625","404906.546875","365418.31953125","408205.68046875","381618.92578125","415293.26171875"
"22","1","2024-11-27T10:00:00.000","2024-11-26T11:00:00.000","405474","387013","389224.59375","401432.78125","365813.4703125","408212.5296875","365134.9015625","413314.2859375","384283.75078125","418581.81171875"
"23","1","2024-11-27T11:00:00.000","2024-11-26T11:00:00.000","411819","396217.40625","395670.75","409763.71875","373952.75625","418482.05625","365941.8328125","425399.6671875","389706.86875","429820.56875"
"24","1","2024-11-27T12:00:00.000","2024-11-26T11:00:00.000","430520","418668.1875","404216.625","421145.1875","379531.78125","457804.59375","357924.190625","450509.059375","387159.61875","455130.75625"
"25","1","2024-11-27T13:00:00.000","2024-11-26T11:00:00.000","450555","443305.40625","413141.90625","432898.21875","390139.82734375","496470.98515625","351505.76484375","474778.04765625","386316.72734375","479479.71015625"
"26","1","2024-11-27T14:00:00.000","2024-11-26T11:00:00.000","461751","449731.40625","421140","443473.34375","391615.98828125","507846.82421875","357823.05","484456.95","398888.190625","488058.496875"
"27","1","2024-11-27T15:00:00.000","2024-11-26T11:00:00.000","465722","454813.40625","427563.3125","452525.59375","390698.971875","518927.840625","368518.62109375","486608.00390625","415348.221875","489702.965625"
"28","1","2024-11-27T16:00:00.000","2024-11-26T11:00:00.000","467407","459426.59375","432291.34375","459985.28125","394632.7171875","524220.4703125","378154.7","486427.9875","430794.575","489175.9875"
"29","1","2024-11-27T17:00:00.000","2024-11-26T11:00:00.000","467932","460958.8125","435811.375","465797.25","397258.08671875","524659.53828125","422730.2859375","448892.4640625","448433.103125","483161.396875"
"30","1","2024-11-27T18:00:00.000","2024-11-26T11:00:00.000","467581","459336.59375","439029.40625","470442.5","402253.18203125","516420.00546875","394459.7703125","483599.0421875","450992.96796875","489892.03203125"
"31","1","2024-11-27T19:00:00.000","2024-11-26T11:00:00.000","468461","459242.40625","442910.5625","475025.15625","410123.240625","508361.571875","402947.76484375","482873.36015625","455106.71796875","494943.59453125"
"32","1","2024-11-27T20:00:00.000","2024-11-26T11:00:00.000","469307","459400.8125","447775.625","480402.9375","412712.45","506089.175","412828.721875","482722.528125","457063.246875","503742.628125"
"33","1","2024-11-27T21:00:00.000","2024-11-26T11:00:00.000","470896","460599.59375","453451.78125","486557.53125","419232.59375","501966.59375","422675.43671875","484228.12578125","460531.5546875","512583.5078125"
"34","1","2024-11-27T22:00:00.000","2024-11-26T11:00:00.000","475183","464002.40625","459170.75","492596.25","423305.4296875","504699.3828125","428658.646875","489682.853125","467994.4953125","517198.0046875"
"35","1","2024-11-27T23:00:00.000","2024-11-26T11:00:00.000","482886","468856.1875","463608.59375","497441.625","431602.1515625","506110.2234375","427923.8359375","499293.3515625","484130.90546875","510752.34453125"
"36","1","2024-11-28T00:00:00.000","2024-11-26T11:00:00.000","485979","475886.1875","465267.28125","498563.6875","438727.075","513045.3","424723.18046875","505811.38203125","489087.0703125","508040.3046875"
"37","1","2024-11-28T01:00:00.000","2024-11-26T11:00:00.000","482472","477101.1875","463009.09375","495165.4375","440082.80234375","514119.57265625","422552.66171875","503465.52578125","481371.77578125","508959.09921875"
"38","1","2024-11-28T02:00:00.000","2024-11-26T11:00:00.000","475998","472854.8125","456312.15625","486791.90625","434637.53671875","511072.08828125","416235.0046875","496389.3078125","468353.5953125","505230.2171875"
