index,respondent,type,value,value-units,y
2019-01-01 00:00:00,US48,D,461392,megawatthours,461392.0
2019-01-01 01:00:00,US48,D,459577,megawatthours,459577.0
2019-01-01 02:00:00,US48,D,451601,megawatthours,451601.0
2019-01-01 03:00:00,US48,D,437803,megawatthours,437803.0
2019-01-01 04:00:00,US48,D,422742,megawatthours,422742.0
2019-01-01 05:00:00,US48,D,407689,megawatthours,407689.0
2019-01-01 06:00:00,US48,D,395452,megawatthours,395452.0
2019-01-01 07:00:00,US48,D,384688,megawatthours,384688.0
2019-01-01 08:00:00,US48,D,375154,megawatthours,375154.0
2019-01-01 09:00:00,US48,D,368486,megawatthours,368486.0
2019-01-01 10:00:00,US48,D,365478,megawatthours,365478.0
2019-01-01 11:00:00,US48,D,366651,megawatthours,366651.0
2019-01-01 12:00:00,US48,D,371976,megawatthours,371976.0
2019-01-01 13:00:00,US48,D,378869,megawatthours,378869.0
2019-01-01 14:00:00,US48,D,388344,megawatthours,388344.0
2019-01-01 15:00:00,US48,D,402207,megawatthours,402207.0
2019-01-01 16:00:00,US48,D,414739,megawatthours,414739.0
2019-01-01 17:00:00,US48,D,422763,megawatthours,422763.0
2019-01-01 18:00:00,US48,D,425745,megawatthours,425745.0
2019-01-01 19:00:00,US48,D,427687,megawatthours,427687.0
2019-01-01 20:00:00,US48,D,422445,megawatthours,422445.0
2019-01-01 21:00:00,US48,D,421916,megawatthours,421916.0
2019-01-01 22:00:00,US48,D,426721,megawatthours,426721.0
2019-01-01 23:00:00,US48,D,441876,megawatthours,441876.0
2019-01-02 00:00:00,US48,D,455611,megawatthours,455611.0
2019-01-02 01:00:00,US48,D,461217,megawatthours,461217.0
2019-01-02 02:00:00,US48,D,460927,megawatthours,460927.0
2019-01-02 03:00:00,US48,D,452290,megawatthours,452290.0
2019-01-02 04:00:00,US48,D,436933,megawatthours,436933.0
2019-01-02 05:00:00,US48,D,422427,megawatthours,422427.0
2019-01-02 06:00:00,US48,D,403414,megawatthours,403414.0
2019-01-02 07:00:00,US48,D,390761,megawatthours,390761.0
2019-01-02 08:00:00,US48,D,383002,megawatthours,383002.0
2019-01-02 09:00:00,US48,D,380396,megawatthours,380396.0
2019-01-02 10:00:00,US48,D,383786,megawatthours,383786.0
2019-01-02 11:00:00,US48,D,397342,megawatthours,397342.0
2019-01-02 12:00:00,US48,D,424188,megawatthours,424188.0
2019-01-02 13:00:00,US48,D,451618,megawatthours,451618.0
2019-01-02 14:00:00,US48,D,470004,megawatthours,470004.0
2019-01-02 15:00:00,US48,D,481028,megawatthours,481028.0
2019-01-02 16:00:00,US48,D,488077,megawatthours,488077.0
2019-01-02 17:00:00,US48,D,490517,megawatthours,490517.0
2019-01-02 18:00:00,US48,D,488976,megawatthours,488976.0
2019-01-02 19:00:00,US48,D,488115,megawatthours,488115.0
2019-01-02 20:00:00,US48,D,486476,megawatthours,486476.0
2019-01-02 21:00:00,US48,D,485079,megawatthours,485079.0
2019-01-02 22:00:00,US48,D,488274,megawatthours,488274.0
2019-01-02 23:00:00,US48,D,500065,megawatthours,500065.0
2019-01-03 00:00:00,US48,D,510671,megawatthours,510671.0
2019-01-03 01:00:00,US48,D,513464,megawatthours,513464.0
2019-01-03 02:00:00,US48,D,509078,megawatthours,509078.0
2019-01-03 03:00:00,US48,D,494901,megawatthours,494901.0
2019-01-03 04:00:00,US48,D,474661,megawatthours,474661.0
2019-01-03 05:00:00,US48,D,451641,megawatthours,451641.0
2019-01-03 06:00:00,US48,D,430752,megawatthours,430752.0
2019-01-03 07:00:00,US48,D,415206,megawatthours,415206.0
2019-01-03 08:00:00,US48,D,407016,megawatthours,407016.0
2019-01-03 09:00:00,US48,D,401979,megawatthours,401979.0
2019-01-03 10:00:00,US48,D,402941,megawatthours,402941.0
2019-01-03 11:00:00,US48,D,414180,megawatthours,414180.0
2019-01-03 12:00:00,US48,D,438294,megawatthours,438294.0
2019-01-03 13:00:00,US48,D,463406,megawatthours,463406.0
2019-01-03 14:00:00,US48,D,478144,megawatthours,478144.0
2019-01-03 15:00:00,US48,D,485817,megawatthours,485817.0
2019-01-03 16:00:00,US48,D,488892,megawatthours,488892.0
2019-01-03 17:00:00,US48,D,486548,megawatthours,486548.0
2019-01-03 18:00:00,US48,D,481773,megawatthours,481773.0
2019-01-03 19:00:00,US48,D,476182,megawatthours,476182.0
2019-01-03 20:00:00,US48,D,470759,megawatthours,470759.0
2019-01-03 21:00:00,US48,D,467193,megawatthours,467193.0
2019-01-03 22:00:00,US48,D,469868,megawatthours,469868.0
2019-01-03 23:00:00,US48,D,483188,megawatthours,483188.0
2019-01-04 00:00:00,US48,D,497262,megawatthours,497262.0
2019-01-04 01:00:00,US48,D,502944,megawatthours,502944.0
2019-01-04 02:00:00,US48,D,501008,megawatthours,501008.0
2019-01-04 03:00:00,US48,D,489880,megawatthours,489880.0
2019-01-04 04:00:00,US48,D,471727,megawatthours,471727.0
2019-01-04 05:00:00,US48,D,450512,megawatthours,450512.0
2019-01-04 06:00:00,US48,D,431700,megawatthours,431700.0
2019-01-04 07:00:00,US48,D,416861,megawatthours,416861.0
2019-01-04 08:00:00,US48,D,407323,megawatthours,407323.0
2019-01-04 09:00:00,US48,D,403401,megawatthours,403401.0
2019-01-04 10:00:00,US48,D,405551,megawatthours,405551.0
2019-01-04 11:00:00,US48,D,416960,megawatthours,416960.0
2019-01-04 12:00:00,US48,D,442668,megawatthours,442668.0
2019-01-04 13:00:00,US48,D,467761,megawatthours,467761.0
2019-01-04 14:00:00,US48,D,481502,megawatthours,481502.0
2019-01-04 15:00:00,US48,D,486669,megawatthours,486669.0
2019-01-04 16:00:00,US48,D,485055,megawatthours,485055.0
2019-01-04 17:00:00,US48,D,479132,megawatthours,479132.0
2019-01-04 18:00:00,US48,D,471217,megawatthours,471217.0
2019-01-04 19:00:00,US48,D,463691,megawatthours,463691.0
2019-01-04 20:00:00,US48,D,456794,megawatthours,456794.0
2019-01-04 21:00:00,US48,D,451118,megawatthours,451118.0
2019-01-04 22:00:00,US48,D,451010,megawatthours,451010.0
2019-01-04 23:00:00,US48,D,459317,megawatthours,459317.0
2019-01-05 00:00:00,US48,D,469088,megawatthours,469088.0
2019-01-05 01:00:00,US48,D,473807,megawatthours,473807.0
2019-01-05 02:00:00,US48,D,471830,megawatthours,471830.0
2019-01-05 03:00:00,US48,D,463786,megawatthours,463786.0
2019-01-05 04:00:00,US48,D,450074,megawatthours,450074.0
2019-01-05 05:00:00,US48,D,433123,megawatthours,433123.0
2019-01-05 06:00:00,US48,D,416009,megawatthours,416009.0
2019-01-05 07:00:00,US48,D,403154,megawatthours,403154.0
2019-01-05 08:00:00,US48,D,393753,megawatthours,393753.0
2019-01-05 09:00:00,US48,D,389151,megawatthours,389151.0
2019-01-05 10:00:00,US48,D,389760,megawatthours,389760.0
2019-01-05 11:00:00,US48,D,395796,megawatthours,395796.0
2019-01-05 12:00:00,US48,D,406055,megawatthours,406055.0
2019-01-05 13:00:00,US48,D,420938,megawatthours,420938.0
2019-01-05 14:00:00,US48,D,436221,megawatthours,436221.0
