unique_id,ds,cutoff,y,lightGBM,xgboost,linear_regression,lasso,ridge,lightGBM-lo-95,lightGBM-hi-95,xgboost-lo-95,xgboost-hi-95,linear_regression-lo-95,linear_regression-hi-95,lasso-lo-95,lasso-hi-95,ridge-lo-95,ridge-hi-95
1,2024-04-14 00:00:00,2024-04-13 23:00:00,421836.39,422716.3851986543,421999.12,422352.3037889855,422303.387840266,422352.3185158557,421022.90513773885,424409.8652595698,413150.1631875,430848.0868125,420572.6725191364,424131.93505883456,420193.90476246015,424412.8709180718,420572.6985210266,424131.9385106848
1,2024-04-14 01:00:00,2024-04-13 23:00:00,421300.67,422439.4226593746,422403.72,420444.2059751382,420181.24654958415,420444.2465542749,417651.60703102156,427227.23828772764,410528.525875,434278.911625,413143.8631917304,427744.54875854595,412754.6182457863,427607.874853382,413143.91238397744,427744.5807245724
1,2024-04-14 02:00:00,2024-04-13 23:00:00,415940.13,417209.92648286076,418226.88,413555.86538569833,412950.78457929986,413555.9364958436,407277.5652404763,427142.28772524523,403594.6665,432859.0835,401713.5394629447,425398.19130845193,400649.67039615154,425251.89876244817,401713.62388232717,425398.24910936
1,2024-04-14 03:00:00,2024-04-13 23:00:00,403788.77,405820.0476026817,405515.62,401358.33647851064,400883.37806253805,401358.4375803576,392670.36465229886,418969.7305530645,388216.35246875003,422814.89753124997,388385.17388654273,414331.49907047855,387325.0234711157,414441.7326539604,388385.31892053015,414331.55624018505
1,2024-04-14 04:00:00,2024-04-13 23:00:00,388042.74,386520.5941238852,388142.9,386263.5220236734,385896.7761657294,386263.6521427537,372017.7010359452,401023.4872118252,370163.19446875,406122.61803125,370245.2762235143,402281.7678238325,369233.6319683603,402559.9203630985,370245.5191240947,402281.7851614127
1,2024-04-14 05:00:00,2024-04-13 23:00:00,372060.15,367259.2626498513,372258.8,370428.38079910836,370110.26028462074,370428.5376175029,353610.56113466906,380907.9641650336,354207.1286875,390310.4963125,350185.2851735869,390671.4764246298,349147.88215002546,391072.63841921603,350185.5770599258,390671.49817508
1,2024-04-14 06:00:00,2024-04-13 23:00:00,358482.01,354708.36472668895,358602.3,356095.1927761236,355891.8060370887,356095.37261726276,342451.6572167805,366965.07223659736,341657.10846875,375547.51653125,334039.60928061046,378150.7762716367,332918.4128971552,378865.1991770222,334039.94331238815,378150.8019221374
1,2024-04-14 07:00:00,2024-04-13 23:00:00,348235.15,347244.1507507741,349344.47,345447.05028916954,344840.3943362616,345447.24887234974,336643.05731341755,357845.2441881306,332160.90446875,366528.03303125,322651.98619181337,368242.1143865257,320919.7608464856,368761.0278260376,322652.35440952325,368242.1433351762
1,2024-04-14 08:00:00,2024-04-13 23:00:00,342996.21,342461.49682347977,342993.84,338411.0547049528,337627.763125355,338411.2658140999,333029.7875513697,351893.20609558985,324598.95581250003,361388.73168749997,315842.507776803,360979.6016331027,314165.0212926406,361090.5049580694,315842.8991253466,360979.63250285323
1,2024-04-14 09:00:00,2024-04-13 23:00:00,339782.22,340566.8872106469,340116.75,336095.49155908666,335441.1195559533,336095.70977822016,330793.82985184697,350339.9445694468,321340.95725,358892.54275,314689.48169643345,357501.50142173993,312856.95620623435,358025.28290567227,314689.84504834685,357501.5745080935
